"DOMAIN_TYPE","DOMAIN_HCODE","DOMAIN_LEVEL1","DOMAIN_CNAME","DOMAIN_CSNAME","DOMAIN_DESC","DOMAIN_DESC_GENERATED","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME"
内部,"20501",基金相关,基金产品持仓,基金持仓,基金持仓，主要包括定期报告中披露的公募基金持仓组合数据(不含QDII)，主要包括股票、债券、基金等持仓数据。涵盖了中报、年报中的全部组合明细，季报中的前十大组合明细，上市公司季报中的十大股东信息。对于股票数据，还有重大变动数据，以及根据股票所属申万一级行业、申万二级行业、申万三级行业、题材、赛道进行聚合，得到的行业、题材、赛道相关持仓信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:58"
内部,"20502",基金相关,基金产品净值,基金净值,基金净值，主要包括了公募基金的净值信息、货币型基金的每万分收益、日收益率等数据，还有基于分红和拆分折算计算的复权因子、复权净值数据，更好地体现基金的业绩表现。在实际应用中，除了基础的展示净值和行情数据以外，还可以计算某个区间段内基金的业绩表现；横向比较不同基金的收益排名情况。同时，可以结合基金的类型，比较不同类型基金之间的业绩表现。也可以比较相同基金类型之间的业绩表现。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:58"
内部,"20503",基金相关,基金经理基本信息,基金经理基本信息,收录基金经理的基本情况，包括：从业机构、性别、出生年份、最高学历、管理年限、管理基金数量、换手率、管理规模等，以及总结了基金经理定期报告中的观点。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:58"
内部,"20504",基金相关,基金经理持仓,基金经理持仓,基金经理持仓是根据基金和基金经理对应关系，聚合基金持仓数据计算得到。涵盖了中报、年报中的全部组合明细，季报中的前十大组合明细，上市公司季报中的十大股东信息。对于股票数据，还有重大变动数据，以及根据股票所属申万一级行业、申万二级行业、申万三级行业、题材、赛道进行聚合，得到的行业、题材、赛道相关持仓信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:59"
内部,"20505",基金相关,基金经理净值,基金经理净值,基金经理净值是根据基金和基金经理对应关系，对基金净值数据进行加权计算得到。主要包括了公募基金经理的净值信息和日收益率数据。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:59"
内部,"20506",基金相关,基金公司持仓,基金公司持仓,基金公司持仓是根据基金和基金公司对应关系，聚合基金持仓数据计算得到。涵盖了中报、年报中的全部组合明细，季报中的前十大组合明细，上市公司季报中的十大股东信息。对于股票数据，还有重大变动数据，以及根据股票所属申万一级行业、申万二级行业、申万三级行业、题材、赛道进行聚合，得到的行业、题材、赛道相关持仓信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:59"
内部,"209",基金相关,股票标签,股票标签,标签包括股票所属申万行业标签、题材标签等，需要关联标签信息表和股票标签信息表使用。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:59"
内部,"20507",基金相关,基金标签,基金标签,基金标签包括WIND的基金分类标签，以及根据基金行情数据计算得到的基金、基金经理标签(包括：1-规模标签；2-赛道大类划分；3-单/双赛道细分；4-左右侧交易；5-基金类别；6-基金价值成长标签；7-持仓热度标签)。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:50:59"
内部,"20508",基金相关,QDII基金产品持仓,QDII基金持仓,QDII基金持仓，主要包括定期报告中披露的QDII持仓组合数据，涵盖了持仓明细，持仓重大变动数据。对于债券类持仓数据，还有对应债券的信用等级数据。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:51:00"
内部,"20509",基金相关,基金产品基本信息,基金基本信息,收录基金基本情况，包括：所属基金公司、对应基金经理、换手率、最新报告期等。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:51:00"
内部,"20601",基金相关,ETF相关信息,ETF相关信息,"""ETF相关信息""这个域，涵盖了如下信息：（1）ETF相关标签，分为美股和A股，标签包括权益、固收、商品、货币大类，权益细分为规模、风格、行业标签，还包括地区、基金公司、投资策略等标签。（2）ETF的行情信息，主要涉及ETF基金的收盘行情，包括开盘价，收盘价，最高价，最低价，成交量，成交额等行情信息。","",,,1,"","2024-10-17 15:41:51","","2025-02-26 15:18:07"
内部,"20510",基金相关,基金份额变动,基金份额变动,例如基金的申购和赎回。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:51:00"
内部,"201",内部信息查询,调研通知,调研通知,记录上市公司、产业内的调研信息。,"",,,1,"","2024-10-17 15:41:51","","2024-11-20 23:59:31"
外部,"401",基础码表,基础码表,基础码表,“基础码表”涵盖了多个用于记录和管理金融市场中各类基础信息的表格。综合参数表（GEN_REF）提供了业务表中使用的参数信息，包括分类编码和参数名称等。机构信息表（ORG_PROFILE）记录了机构和自然人的详细信息，如机构类型、注册资本、联系方式等，并与综合参数表关联。行业分类代码表（PUB_INDU_REF）管理不同行业分类标准的信息，分配行业编码并区分不同的分类体系。证券综合代码表（PUB_SEC_CODE）汇总了股票、基金、债券等证券的基础信息，涉及证券类型、市场、上市状态等，并特别关注A股主板、A股科创板和港股等特定板块。整体而言，该分类下的表格提供了金融市场中各类基础数据的全面支持。,"",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:51:01"
外部,"10101",个股相关,主板财务,主板财务,“主板财务”涵盖了多种用于分析A股主板上市公司财务状况的表格。这些表格包括资产负债表、现金流量表、所有者权益变动表、利润表、财务指标表、单季度财务指标表、股票估值指标表等。它们记录了公司在不同财务报告期间的资产、负债、股东权益、收入、成本、现金流动、财务指标和估值指标等信息。通过这些表格，用户可以全面了解公司在主板市场上的财务健康状况和经营表现。这些数据对于投资者和分析师评估公司财务状况、盈利能力和市场估值具有重要意义。,"",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:53:04"
外部,"10102",个股相关,主板分红,主板分红,“主板分红”涵盖了与A股主板上市公司分红相关的多方面信息。该分类包括记录公司每期分红派息及股改分红详细情况的表格，涉及从董事会提出分红预案到股东大会审议及实施的全过程。此外，还包括上市公司首次公开发行（IPO）时涉及的相关机构信息，如承销商和保荐人等，以及年度分红统计数据，涵盖年度累计分红、净利润及分红与净利润的比率等。整体上，该分类提供了全面的分红信息和相关机构的详细记录，帮助了解A股主板上市公司的分红政策和执行情况。,"",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:53:04"
外部,"10103",个股相关,主板股本股东,主板股本股东,“主板股本股东”涵盖了与A股主板上市公司股本结构及股东信息相关的表格。该分类下的表格记录了上市公司在不同时间点的股本结构变化、股本变动原因、以及十大股东的持股类别和变动情况。这些表格通过公司代码、变动日期等关键字段关联，提供了详细的股本结构、股东持股比例及其变化的历史记录，帮助分析公司股本的动态变化和股东结构。,"",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:53:04"
外部,"10104",个股相关,主板行情,主板行情,“主板行情”涵盖了多个表格，提供了关于股票市场的详细信息。主要包括股票的交易行情、市场表现、估值指标以及融资融券交易明细。具体而言，股票行情表记录了个股在交易日的价格、成交量等基本信息；市场表现指标表分析个股的市值、涨跌幅、换手率等表现；估值指标表计算市盈率、市净率等财务健康状况；融资融券交易明细表则记录了融资融券的交易数据。这些表格共同为A股主板市场的投资者提供了全面的市场数据支持。,"",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:53:05"
外部,"10105",个股相关,主板基本信息,主板基本信息,"""主板基本信息""涵盖了上市公司在A股主板市场的多方面信息，包括高管及重要员工的任职情况、公司雇员概况、公司基本信息、申万行业历史变动情况以及股票代码信息。具体而言，该分类记录了高管的职务、任期、离职原因等详细信息；提供了公司雇员的数量、平均年龄、薪酬等数据；包含了公司的注册资本、主营业务、联系方式等基本信息；追踪了公司在申万行业的历史变动；以及管理和查询股票的代码、上市状态、交易市场等信息。这些表格共同为分析和了解主板上市公司的运营状况和市场表现提供了全面的数据支持。","",,,1,"","2024-10-17 15:42:11","","2024-11-20 23:53:05"
外部,"10106",个股相关,主板经营,主板经营,“主板经营”涵盖了上市公司在定期报告中披露的主营业务收入、成本及其分布情况，按地区和产品进行分类。该分类下的表格记录了公司在全球各地区和各产品的营业收入、成本及其所占比重，适用于不同会计准则时期。表格通过公司代码关联上市公司基本信息，包含报表日期、报表类型、项目ID等字段，并提供主营业务收入、成本、毛利及其变化趋势的详细数据。这些信息有助于分析公司在A股主板市场的经营状况和财务表现。,"",,,1,"","2024-10-17 15:42:11","","2024-11-30 01:18:55"
外部,"10107",个股相关,主板业绩预告,主板业绩预告,"""主板业绩预告""涵盖了上市公司在A股主板市场的业绩预告和业绩快报信息。该分类下的表格记录了公司对未来业绩的预测、原因及相关财务指标的初步核算结果。具体信息包括公司代码、股票代码及简称、公告日期、预测类型、净利润和营业收入的预测范围及同比增长情况、每股收益、净资产收益率等关键财务数据。此外，还涉及预测是否被推翻及其原因。此类信息帮助投资者和分析师了解上市公司在主板市场的财务健康状况和未来业绩预期。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:05"
外部,"10108",个股相关,主板员工持股,主板员工持股,"""主板员工持股""涵盖了有关A股主板上市公司员工持股计划的详细信息。该分类包括员工持股计划的基本信息、计划的有效性、公司和计划的标识、管理方式、股票和资金来源、计划进度、参与对象及其构成、资金和股票的数量及比例、成本和金额、计划的时间安排、公告日期、持股比例限制、锁定说明和持股目的等。此外，还记录了参与对象的详细信息，包括参与者的身份、职务、出资额、持有份额及其在计划中的占比。这些信息有助于全面了解主板上市公司员工持股计划的实施和参与情况。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:05"
外部,"10201",个股相关,港股财务,港股财务,"""港股财务""涵盖了香港公司在财务数据方面的多种信息，主要包括财务指标、现金流量、资产负债、利润分配和估值指标等。具体而言，该分类下的表格记录了香港公司因财务活动（如首发、增发、配股、分红派现、财报披露等）引起的财务数据变动，详细描述了公司的经营、投资和融资活动的现金流量，资产负债情况，以及利润分配的详细信息。此外，还包括对香港股票的估值指标计算，涵盖市盈率、市净率、市销率等。数据的有效性和准确性通过多种字段进行标识和验证，确保信息的可靠性。整体上，该表分类为分析香港公司财务健康状况和投资价值提供了全面的数据支持。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:06"
外部,"10202",个股相关,港股股本股东,港股股本股东,"""港股股本股东""香港上市公司股本及股东相关信息。该分类下的表格记录了公司股本的详细情况，包括股本变动的原因、普通股和优先股的类型及数量、法定和实收股本的财务数据等。此外，还提供了股本变动的时间信息、股票所属地域、变动原因的分类信息，以及股本的货币信息。该分类的表格通过公司统一编码等字段关联香港公司基本信息，确保数据的准确性和有效性。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:06"
外部,"10203",个股相关,港股行情,港股行情,"""港股行情""涵盖了香港股票市场的多方面数据，包括日行情、市场表现和估值指标。具体而言，该分类下的表格记录了港股的每日交易数据，如开盘价、收盘价、最高价、最低价、成交量和成交额等，反映市场的交易活跃度和价格波动。此外，还包括股票的市场表现指标，如总市值、流通市值、涨跌幅、换手率和BETA值等，提供了对股票市场表现的全面分析。估值指标方面，表格计算了市盈率、市净率、市销率等关键财务比率，帮助评估股票的投资价值。所有数据均以股票统一编码和日期为主键进行组织，确保信息的准确性和有效性。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:06"
外部,"10204",个股相关,港股基本信息,港股基本信息,"""港股基本信息""涵盖了香港上市公司的多方面信息。该分类包括公司基本信息、股票代码及行业变动记录。具体而言，港股基本信息表记录了公司名称、管理层、法律顾问、核数师、联系信息及公司状态等详细数据。股票代码表则提供了上市公司股票的代码、交易信息及上市状态等。行业变动表追踪公司所属行业的变化，记录了行业变动的时间及分类体系。整体上，该表分类为用户提供了全面的香港上市公司基本信息及其动态变化。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:06"
外部,"10301",个股相关,科创板财务,科创板财务,"""科创板财务""涵盖了科创板上市公司的多种财务报表和指标，提供了全面的财务信息。具体包括资产负债表、现金流量表、利润表、股票估值指标表和财务指标表。这些表格记录了公司在特定期间内的资产、负债、股东权益、现金流动、收入、成本、利润及各类财务比率和增长率等信息。通过这些数据，用户可以分析科创板公司的财务健康状况、经营成果和市场表现，帮助进行投资决策和风险评估。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:07"
外部,"10302",个股相关,科创板分红,科创板分红,"""科创板分红""涵盖了科创板上市公司分红相关的信息。该分类下的表格主要用于记录和统计科创板公司每期的分红派息情况及年度分红统计。具体内容包括公司分红的公告日期、分红类型、分红对象、派息股本基数、股息发放率、每股派现送转等详细信息。此外，还统计了年度累计分红总额、归属于母公司所有者的净利润，以及现金分红与净利润的比率。这些数据帮助分析科创板公司在不同时间段的分红政策和财务表现。","",,,1,"","2024-10-17 15:42:12","","2024-11-20 23:53:07"
