"ID","SRC","DB_TABLE","DB_NAME","TABLE_HCODE","TABLE_CNAME","TABLE_ENAME","TABLE_DESC","TABLE_DESC_GENERATED","UNIQ_KEY","IS_SHOW","HISQA","HISMAN","HISVALID","CREATE_BY","HCREATETIME","UPDATE_BY","HUPDATETIME","TABLE_DESC_AI"
1,JY,oracle,ODSJY,"1",证券主表,SecuMain,本表收录单个证券品种（股票、基金、债券）的代码、简称、上市交易所等基础信息。,表格SecuMain-证券主表: 本表收录单个证券品种（股票、基金、债券）的代码、简称、上市交易所等基础信息。,InnerCode,0,,,1,,"2024-06-06 17:33:37",,"2024-08-03 16:54:09",
2,JY,oracle,ODSJY,"2",港股证券主表,HK_delete,本表收录港股单个证券品种的简称、上市交易所等基础信息。,本表收录港股单个证券品种的简称、上市交易所等基础信息。,InnerCode,,,,1,,"2024-06-06 17:33:37",,"2024-09-19 18:31:23",
3,JY,oracle,ODSJY,"3","",LC_7PERCENTCHANGE,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
4,JY,oracle,ODSJY,"4","",LC_7PERCENTCHANGE_SE,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
5,JY,oracle,ODSJY,"5","",LC_ACCOUNTPAYABLE,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
6,JY,oracle,ODSJY,"6","",LC_ACCOUNTRECEIVABLE,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
7,JY,oracle,ODSJY,"7","",LC_ADDRESSCHANGE,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
8,JY,oracle,ODSJY,"8","",LC_ADJUDICATEDOCINFO,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
9,JY,oracle,ODSJY,"9","",LC_ADVANCES,"",,"",,,,0,,"2024-06-06 17:33:37",,"2024-08-09 14:25:12",
10,JY,oracle,ODSJY,"10","",LC_ANNCLASSIFI,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:12",
11,JY,oracle,ODSJY,"11","",LC_ANNOUNCEMENT,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:12",
12,JY,oracle,ODSJY,"12","",LC_ANNOUNCEMENTINFO,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:12",
13,JY,oracle,ODSJY,"13","",LC_ANNOUNCEMENTINFO_SE,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
14,JY,oracle,ODSJY,"14","",LC_ANNOUNCESTRU,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
15,JY,oracle,ODSJY,"15","",LC_AREACODE,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
16,JY,oracle,ODSJY,"16","",LC_AREARELATINGINFO,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
17,JY,oracle,ODSJY,"17","",LC_ASHAREIPO,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
18,JY,oracle,ODSJY,"18","",LC_ASHAREIPO_SE,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
19,JY,oracle,ODSJY,"19","",LC_ASHAREIPOBID,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
20,JY,oracle,ODSJY,"20","",LC_ASHAREPLACEMENT,"",,"",,,,0,,"2024-06-06 17:33:38",,"2024-08-09 14:25:13",
21,JY,oracle,ODSJY,"21","",LC_ASHARESEASONEDNEWISSUE,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
22,JY,oracle,ODSJY,"22","",LC_ASHARESEASONEDNEWISSUE_SE,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
23,JY,oracle,ODSJY,"23","",LC_ASSETBUYANDSALE,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
24,JY,oracle,ODSJY,"24","",LC_ASSETDEVALPROVINEW,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
25,JY,oracle,ODSJY,"25","",LC_ASSETTCLD,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
26,JY,oracle,ODSJY,"26","",LC_AUDITOPINION,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:13",
27,JY,oracle,ODSJY,"27","",LC_AVAILABLEFORSALEFS,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:14",
28,JY,oracle,ODSJY,"28","",LC_BALANCESHEET,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:14",
29,JY,oracle,ODSJY,"29",资产负债表_新会计准则,LC_BALANCESHEETALL,"1.反映企业依据2007年新会计准则在年报、中报、季报中披露的资产负债表数据；并依据新旧会计准则的科目对应关系，收录主要科目的历史对应数据。
2.收录同一公司在报告期末的四种财务报告，即未调整的合并报表、未调整的母公司报表、调整后的合并报表以及调整后的母公司报表。
3.若某个报告期的数据有多次调整，则该表展示历次调整数据。
4.该表中各财务科目的单位均为人民币元。
5.带“##”的特殊项目为单个公司披露的非标准化的科目，对应的“特殊字段说明”字段将对其作出说明；带“##”的调整项目是为了让报表的各个小项借贷平衡而设置的，便于客户对报表的遗漏和差错进行判断。",表格LC_BALANCESHEETALL-资产负债表_新会计准则: 表格“LC_BALANCESHEETALL”是一个资产负债表，依据2007年新会计准则设计，用于反映企业在年报、中报、季报中披露的资产负债数据。该表格收录了同一公司在报告期末的四种财务报告（未调整的合并报表、未调整的母公司报表、调整后的合并报表以及调整后的母公司报表），并展示历次调整数据。所有财务科目的单位均为人民币元。\n\n表格包含以下主要字段：\n\n1. 基本信息字段：包括ID、信息发布日期、信息来源、信息来源编码、公告类别、公司代码、截止日期、是否合并、是否调整、完整标志、会计准则、报表格式类型等。\n2. 流动资产模块：包括货币资金/现金及存放中央银行款项、其中:货币资金、其中:货币资金:客户资金存款、其中:现金及存放中央银行款项、结算备付金、其中:客户备付金、拆出资金、融出资金、存放同业款项、存放联行款项、贵金属、交易性金融资产合计、其中:交易性金融资产、其中:以公允价值计量且其变动计入当期损益的金融资产、衍生金融资产、存出保证金、应收票据及应收账款、其中:应收票据、其中:应收账款、应收款项融资、预付款项、应收保费、应收代位追偿款、应收分保账款、应收分保合同准备金、其中:应收分保未到期责任准备金、其中:应收分保未决赔款准备金、其中:应收分保寿险责任准备金、其中:应收分保长期健康险责任准备金、其他应收款(含利息和股利)、其中:其他应收款、其中:应收股利、其中:应收利息、应收融资租赁款、应收款项、应收货币保证金、应收质押保证金、应收结算担保金、应收风险损失款、应收手续费及佣金、买入返售金融资产、存货、其中:消耗性生物资产、合同资产、代理业务资产、持有待售资产、待摊费用、保户质押贷款、一年内到期的非流动资产、其他流动资产、##流动资产特殊项目、##流动资产调整项目、流动资产合计。\n3. 非流动资产模块：包括发放贷款和垫款、债权投资合计、其中:债权投资、其中:以摊余成本计量的金融资产、其他债权投资合计、其中:其他债权投资、其中:以公允价值计量且其变动计入其他综合收益的债务工具投资、投资-贷款及应收款项(应收款项类投资)、定期存款、其他权益工具投资合计、其中:其他权益工具投资、其中:以公允价值计量且其变动计入其他综合收益的非交易性权益工具投资、以公允价值计量且其变动计入其他综合收益的金融资产、持有至到期投资、可供出售金融资产、其他非流动金融资产、委托贷款、长期应收款、长期股权投资、存出资本保证金、投资性房地产、固定资产合计、其中:固定资产、其中:固定资产清理、在建工程合计、其中:在建工程、其中:工程物资、生产性生物资产、公益性生物资产、油气资产、使用权资产、无形资产、其中:交易席位费、开发支出、商誉、长期待摊费用、独立账户资产、递延所得税资产、抵债资产、期货会员资格投资、其他非流动资产、##非流动资产特殊项目、##非流动资产调整项目、非流动资产合计。\n4. 资产总计模块：包括金融投资、其他资产、##资产特殊项目、##资产调整项目、资产总计。\n5. 流动负债模块：包括短期借款、其中:质押借款、应付短期融资款、应付短期债券、向中央银行借款、拆入资金、交易性金融负债合计、其中:交易性金融负债、其中:以公允价值计量且其变动计入当期损益的金融负债、衍生金融负债、应付票据及应付账款、其中:应付票据、其中:应付账款、预收款项、预收保费、合同负债、卖出回购金融资产款、吸收存款及同业存款、其中:吸收存款、其中:同业及其他金融机构存放款项、联行存放款项、代理买卖证券款、代理承销证券款、应付职工薪酬、应交税费、其他应付款(含利息和股利)、其中:其他应付款、其中:应付股利、其中:应付利息、应付款项、应付手续费及佣金、应付货币保证金、应付质押保证金、应付期货投资者保障基金、应付分保账款、代理业务负债、持有待售负债、应付赔付款、应付保单红利、保户储金及投资款、保险合同准备金、存入保证金、预提费用、递延收益、担保赔偿准备金、担保业务准备金、期货风险准备金、一年内到期的非流动负债、其他流动负债、##流动负债特殊项目、##流动负债调整项目、流动负债合计。\n6. 非流动负债模块：包括长期保险合同准备金、其中:未到期责任准备金、其中:未决赔款准备金、其中:寿险责任准备金、其中:长期健康险责任准备金、长期借款、应付债券、其中:优先股(应付债券)、其中:永续债(应付债券)、租赁负债、长期应付款合计、其中:长期应付款、其中:专项应付款、应付融资租赁款、长期应付职工薪酬、预计负债、长期递延收益、独立账户负债、递延所得税负债、其他非流动负债、##非流动负债特殊项目、##非流动负债调整项目、非流动负债合计。\n7. 负债合计模块：包括其他负债、##负债特殊项目、##负债调整项目、负债合计。\n8. 所有者权益(或股东权益)模块：包括实收资本(或股本)、其他权益工具、其中:优先股(其他权益工具)、其中:永续债(其他权益工具)、资本公积、减:库存股、其他综合收益、专项储备、盈余公积、一般风险准备、交易风险准备、其他储备(公允价值变动储备)、未分配利润、外币报表折算差额、未确认投资损失、##归属母公司所有者权益(或股东权益)特殊项目、##归属母公司所有者权益(或股东权益)调整项目、归属母公司所有者权益(或股东权益)合计、其中:归属于母公司普通股股东权益、少数股东权益、##所有者权益(或股东权益)特殊项目、##所有者权益(或股东权益)调整项目、所有者权益(或股东权益)合计。\n9. 负债和所有者(或股东权益)总计模块：包括##负债和权益特殊项目、##负债和权益调整项目、负债和所有者权益(或股东权益)总计。\n10. 特殊字段模块：包括特殊字段说明、发布时间、更新时间、JSID、系统字段。\n\n该表格通过详细的字段定义和分类，帮助用户全面了解企业的资产、负债和所有者权益情况。,"InfoPublDate,CompanyCode,EndDate,IfAdjusted,IfMerged",,,,1,,"2024-06-06 17:33:39",,"2024-08-03 17:47:27",
30,JY,oracle,ODSJY,"30",非金融类资产负债表_新会计准则,LC_BALANCESHEETNEW,"",,"",,,,1,,"2024-06-06 17:33:39",,"2024-06-06 17:33:39",
31,JY,oracle,ODSJY,"31","",LC_BSHAREIPO,"",,"",,,,0,,"2024-06-06 17:33:39",,"2024-08-09 14:25:14",
32,JY,oracle,ODSJY,"32","",LC_BSHAREIPO_SE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
33,JY,oracle,ODSJY,"33","",LC_BSHAREPLACEMENT,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
34,JY,oracle,ODSJY,"34","",LC_BSHARESEASONEDNEWISSUE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
35,JY,oracle,ODSJY,"35","",LC_BSHARESEASONEDNEWISSUE_SE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
36,JY,oracle,ODSJY,"36","",LC_BUSINESS,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
37,JY,oracle,ODSJY,"37","",LC_BUSINESS_SE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
38,JY,oracle,ODSJY,"38","",LC_BUYBACK,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
39,JY,oracle,ODSJY,"39","",LC_BUYBACK_SE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
40,JY,oracle,ODSJY,"40","",LC_CAPITALINVEST,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
41,JY,oracle,ODSJY,"41","",LC_CAPITALINVEST_SE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
42,JY,oracle,ODSJY,"42","",LC_CAPITALRESERVE,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
43,JY,oracle,ODSJY,"43","",LC_CASHFLOWSTATEMENT,"",,"",,,,0,,"2024-06-06 17:33:40",,"2024-08-09 14:25:14",
44,JY,oracle,ODSJY,"44",现金流量表_新会计准则,LC_CASHFLOWSTATEMENTALL,"
1.反映企业依据2007年新会计准则在年报、中报、季报中披露的现金流量表数据；并依据新旧会计准则的科目对应关系，收录了主要科目的历史对应数据。
2.收录同一公司在报告期末的四种财务报告，即未调整的合并报表、未调整的母公司报表、调整后的合并报表以及调整后的母公司报表。
3.若某个报告期的数据有多次调整，则该表展示历次调整数据。
4.该表中各财务科目的单位均为人民币元。
5.带“##”的特殊项目为单个公司披露的非标准化的科目，对应的“特殊字段说明”字段将对其作出说明；带“##”的调整项目是为了让报表的各个小项借贷平衡而设置的，便于客户对报表的遗漏和差错进行判断。","表格LC_CASHFLOWSTATEMENTALL-现金流量表_新会计准则: 表格“LC_CASHFLOWSTATEMENTALL”是依据2007年新会计准则编制的现金流量表，主要用于反映企业在年报、中报、季报中披露的现金流量数据，并收录了主要科目的历史对应数据。该表格包含了同一公司在报告期末的四种财务报告类型（未调整的合并报表、未调整的母公司报表、调整后的合并报表以及调整后的母公司报表），并展示了历次调整数据。所有财务科目的单位均为人民币元。表格中的字段包括：\n\n- 基本信息字段：ID、信息发布日期、信息来源、信息来源编码、公告类别、公司代码、截止日期、是否合并、是否调整、完整标志、会计准则、报表格式类型。\n- 经营活动产生的现金流量：销售商品、提供劳务收到的现金，客户存款和同业存放款项净增加额，向中央银行借款净增加额，向其他金融机构拆入资金净增加额，客户贷款及垫款净减少额，存放中央银行和同业款项净减少额，收到原保险合同保费取得的现金，收到再保业务现金净额，保户储金及投资款净增加额，拆入资金净增加额，拆出资金净减少额，返售业务资金净减少额(经营)，回购业务资金净增加额，代理买卖证券收到的现金净额，代理承销证券收到的现金净额，处置交易性金融资产净增加额，为交易目的而持有的金融资产净减少额，为交易目的而持有的金融负债净增加额，收取利息、手续费及佣金的现金，收到的税费返还，收回已核销贷款，融出资金净减少额，收到其他与经营活动有关的现金，##经营活动现金流入特殊项目，##经营活动现金流入调整项目，经营活动现金流入小计，购买商品、接受劳务支付的现金，客户存款和同业存放款项净减少额，向中央银行借款净减少额，向其他金融机构拆入资金净减少额，客户贷款及垫款净增加额，存放中央银行和同业款项净增加额，支付原保险合同赔付款项的现金，支付保单红利的现金，支付再保业务现金净额，保户储金及投资款净减少额，拆入资金净减少额，拆出资金净增加额，返售业务资金净增加额(经营)，回购业务资金净减少额，代理买卖证券支付的现金净额，代理承销证券支付的现金净额，处置交易性金融资产净减少额，为交易目的而持有的金融资产净增加额，为交易目的而持有的金融负债净减少额，支付利息、手续费及佣金的现金，支付给职工以及为职工支付的现金，支付的各项税费，以现金支付的业务及管理费，融出资金净增加额，支付其他与经营活动有关的现金，##经营活动现金流出特殊项目，##经营活动现金流出调整项目，经营活动现金流出小计，##经营活动现金流量净额调整项目，经营活动产生的现金流量净额。\n- 投资活动产生的现金流量：收回投资收到的现金，取得投资收益收到的现金，处置固定资产、无形资产和其他长期资产收回的现金净额，处置子公司及其他营业单位收到的现金净额，收到其他与投资活动有关的现金，##投资活动现金流入特殊项目，##投资活动现金流入调整项目，投资活动现金流入小计，购建固定资产、无形资产和其他长期资产支付的现金，投资支付的现金，质押贷款净增加额，取得子公司及其他营业单位支付的现金净额，返售业务资金净增加额(投资)，支付其他与投资活动有关的现金，##投资活动现金流出特殊项目，##投资活动现金流出调整项目，投资活动现金流出小计，##投资活动现金流量净额调整项目，投资活动产生的现金流量净额。\n- 筹资活动产生的现金流量：吸收投资收到的现金，其中:子公司吸收少数股东投资收到的现金，取得借款收到的现金，发行债券收到的现金，发行其他权益工具收到的现金，回购业务资金净增加额(筹资)，收到其他与筹资活动有关的现金，##筹资活动现金流入特殊项目，##筹资活动现金流入调整项目，筹资活动现金流入小计，偿还债务支付的现金，分配股利、利润或偿付利息支付的现金，其中:子公司支付给少数股东的股利、利润或偿付的利息，回购业务资金净减少额(筹资)，支付其他与筹资活动有关的现金，##筹资活动现金流出特殊项目，##筹资活动现金流出调整项目，筹资活动现金流出小计，##筹资活动流量现金净额调整项目，筹资活动产生的现金流量净额。\n- 现金及现金等价物：汇率变动对现金及现金等价物的影响，##影响现金及现金等价物的其他科目，##影响现金及现金等价物的调整项目，现金及现金等价物净增加额，加:期初现金及现金等价物余额，##现金及现金等价物净增加额的特殊项目，##现金及现金等价物净增加额的调整项目，期末现金及现金等价物余额。\n- 将净利润调节为经营活动的现金流量：净利润，其中:归属于母公司所有者的净利润，其中:少数股东损益，加:资产减值准备，固定资产折旧、油气资产折旧、生产性生物资产折旧，其中:生产性生物资产折旧，投资性房地产折旧/摊销，使用权资产摊销/折旧，无形资产摊销，长期待摊费用摊销，待摊费用减少(减:增加)，预提费用增加(减:减少)，处置固定资产、无形资产和其他长期资产的损失，固定资产报废损失，公允价值变动损失，财务费用，利息收入，利息支出，其中:租赁负债利息支出，其中:发行债券利息支出，汇兑损失(收益以""-""号填列)，投资损失，受限资金的增加，专项储备增加，信用减值损失，递延收益的增加/(减少)，预计负债的增加(减:减少)，递延税款贷项(减:借项)，递延所得税资产减少，递延所得税负债增加，存货的减少，股份支付费用，交易性金融资产的减少，可供出售金融资产的减少，贷款的减少，经营性应收项目的减少，经营性应付项目的增加，其他，##(附注)经营活动现金流量净额特殊项目，##(附注)经营活动现金流量净额调整项目，(附注)经营活动产生的现金流量净额，##加:经营流量净额前后对比调整项目。\n- 不涉及现金收支的投资和筹资活动：债务转为资本，一年内到期的可转换公司债券，融资租入固定资产。\n- 现金及现金等价物净变动情况：现金的期末余额，减:现金的期初余额，加:现金等价物的期末余额，减:现金等价物的期初余额，##(附注)现金特殊项目，##(附注)现金调整项目，(附注)现金及现金等价物净增加额，##加:现金净额前后对比调整项目。\n- 特殊字段模块：特殊字段说明，发布时间，更新日期，JSID，系统字段，1数据有效，0无效。\n\n该表格详细记录了企业在不同报告期内的现金流动情况，帮助用户分析企业的财务健康状况和经营活动的现金流量。","InfoPublDate,CompanyCode,EndDate,IfAdjusted,IfMerged",,,,1,,"2024-06-06 17:33:41",,"2024-08-03 17:46:08",
45,JY,oracle,ODSJY,"45",非金融类现金流量表_新会计准则,LC_CASHFLOWSTATEMENTNEW,"",,"",,,,1,,"2024-06-06 17:33:41",,"2024-06-06 17:33:41",
46,JY,oracle,ODSJY,"46","",LC_CERTIFICATION,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
47,JY,oracle,ODSJY,"47","",LC_CERTIFICATION_SE,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
48,JY,oracle,ODSJY,"48","",LC_COCONCEPT,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
49,JY,oracle,ODSJY,"49","",LC_CODECHANGE,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
50,JY,oracle,ODSJY,"50","",LC_CODERELATIONSHIP,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
51,JY,oracle,ODSJY,"51","",LC_COMRELATIONSHIP,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
52,JY,oracle,ODSJY,"52","",LC_CONCEPTLIST,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
53,JY,oracle,ODSJY,"53","",LC_CORPORATIONAGENT,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
54,JY,oracle,ODSJY,"54","",LC_CORRINDEXINDUSTRY,"",,"",,,,0,,"2024-06-06 17:33:41",,"2024-08-09 14:25:15",
55,JY,oracle,ODSJY,"55","",LC_CREDIT,"",,"",,,,0,,"2024-06-06 17:33:42",,"2024-08-09 14:25:15",
56,JY,oracle,ODSJY,"56","",LC_CSIINDUSPE,"",,"",,,,0,,"2024-06-06 17:33:42",,"2024-08-09 14:25:15",
